id,status,http_status,latency_ms,tokens_out,has_newline,starts_with_space,preview,error,note
py_add_simple,ok,200,628.72,24,yes,no,```\n    return a + b\n```,,
py_sub_indent,ok,200,389.25,31,yes,no,```python\n\n    return a - b\n```,,
py_mul_nextline,ok,200,382.64,31,yes,no,```python\n\n    return a * b\n```,,
py_class_method,ok,200,299.03,25,yes,no,"```\n        return """"\n```",,
py_property,ok,200,380.97,31,yes,no,```python\nreturn self._name\n```,,
py_decorator,ok,200,398.33,30,yes,no,```python\n\n\nreturn x * 2\n\n\n```,,
py_async,ok,200,529.30,89,yes,no,```\n    async with session.get(url) as response:\n        return await response…,,
py_try_except,ok,200,358.98,21,yes,no,```\nreturn int(s)\n```,,
py_context_manager,ok,200,362.72,43,yes,no,```\n        return f.readline().strip()\n```,,
py_list_comp,ok,200,468.77,50,yes,no,```python\n\n    return [i**2 for i in range(n)]\n```,,
py_docstring,ok,200,476.63,45,yes,no,"```python\n\n    return max(lo, min(hi, x))\n```",,
py_fstring,ok,200,448.86,43,yes,no,"```python\n\n    return f""Hello, {name}!""\n```",,
py_regex_import,ok,200,685.19,71,yes,no,"```python\n    return re.match(r""[^@]+@[^@]+\.[^@]+"", s) is not None\n```",,
py_edge_empty_suffix,ok,200,513.75,31,yes,no,```python\n\n        return 1\n```,,
py_suffix_brace_close,ok,200,387.83,37,yes,no,"```\n                return [i, j]\n```",,
py_indent_align,ok,200,591.82,70,yes,no,```\n        if x % 2 == 0:\n            count += 1\n    return count\n```,,
py_class_init,ok,200,443.48,52,yes,no,```python\n\n        self.x = x\n        self.y = y\n```,,
py_property_setter,ok,200,661.33,128,yes,no,"```python\n\n\n        if value < 0:\n            raise ValueError(""Balance cann…",,
py_generator,ok,200,521.41,43,yes,no,```\nwhile i < n:\n    yield i\n    i += 1\n```,,
py_type_hint_edge,ok,200,469.83,47,yes,no,"```\n    return {v: k for k, v in m.items()}\n```",,
py_codefence_noise,ok,200,345.67,38,yes,no,"```python\n\n\nprint(""Hello, world!"")\n```",,
ts_arrow_basic,fail,422,91.55,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
ts_async_await,fail,422,87.75,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
ts_interface_impl,fail,422,76.25,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
ts_class_method,fail,422,113.25,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
ts_generic,fail,422,106.33,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
js_unclosed_block,fail,422,101.90,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""javascript"",""ctx"":{""expected"":""'python'""}}]}",
js_array_map,fail,422,98.97,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""javascript"",""ctx"":{""expected"":""'python'""}}]}",
js_module_export,fail,422,98.56,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""javascript"",""ctx"":{""expected"":""'python'""}}]}",
js_try_catch,fail,422,82.25,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""javascript"",""ctx"":{""expected"":""'python'""}}]}",
py_suffix_tight_match,ok,200,363.87,30,yes,no,```\n    return a + '/' + b\n```,,
py_unicode_id,ok,200,360.30,37,yes,no,```python\n\n    return cạnh * cạnh\n```,,
py_dataclass,ok,200,530.84,52,yes,no,"```python\nitem1 = Item(name=""Apple"", price=0.99)\n```",,
py_match_case,ok,200,822.92,155,yes,no,"```\n        case 200:\n            return ""OK""\n        case 404:\n            …",,
ts_narrowing,fail,422,102.76,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",
py_context_suffix_close,ok,200,301.14,20,yes,no,```\n    print(i)\n```,,
