id,status,http_status,latency_ms,tokens_out,has_newline,starts_with_space,preview,error,note
case_1,ok,200,856.55,31,yes,no,```python\n\n    return a + b\n```,,Basic function body
case_2,ok,200,666.03,38,yes,no,```python\n\n        self.cache = {}\n```,,Complete method signature
case_3,ok,200,667.55,26,yes,no,```python\n\nreturn data\n```,,Return statement in try block
case_4,ok,200,686.46,32,yes,no,```python\n\n\n            pass\n```,,Nested function logic
case_5,ok,200,629.73,20,yes,no,```\nreturn False\n```,,Context manager return
case_6,ok,200,733.45,47,yes,no,```python\n\n    return await fetch_user(uid)\n```,,Async function body
case_7,ok,200,761.23,34,yes,no,```\n        yield line.strip()\n```,,Yield statement
case_8,ok,200,1121.33,93,yes,no,"```python\ndef move(self, dx: float, dy: float) -> None:\n    self.x += dx\n    …",,Create dataclass instance
case_9,ok,200,1229.33,146,yes,no,```python\n\nfor item in items:\n    if item[key] not in result:\n        result…,,Grouping logic with types
case_10,ok,200,715.79,20,yes,no,```\n{ctx['age']}\n```,,F-string continuation
case_11,ok,200,819.61,33,yes,no,```\nf.write('\n'.join(lines))\n```,,Write to file
case_12,ok,200,716.15,14,yes,no,```\ni ** 2\n```,,List comprehension expression
case_13,ok,200,1133.13,135,yes,no,"```python\n\n    path = args.path\n    if path:\n        print(f""Processing path…",,Process args
case_14,ok,200,1322.36,212,yes,no,```python\n\n\n    handler = logging.StreamHandler()\n    formatter = logging.Fo…,,Configure logger
case_15,ok,200,717.90,32,yes,no,```\nreturn pat.findall(text)\n```,,Regex findall
case_16,ok,200,795.07,57,yes,no,"```python\n\n    return sorted(items, reverse=True)[:k]\n```",,Sort and slice
case_17,ok,200,705.37,35,yes,no,"```\n        fn(*args, **kwargs)\n```",,Call function in context
case_18,ok,200,757.97,34,yes,no,```\n        await self.close()\n```,,Async context manager
case_19,ok,200,713.93,10,yes,no,```\nit\n```,,Multi-line append
case_20,ok,200,750.98,50,yes,no,"```python\n\nreturn self._data.get(key, default)\n```",,Dict get with default
case_21,ok,200,1702.77,190,yes,no,```python\n\n    if n <= 0:\n        return 0\n    elif n == 1:\n        return …,,Recursive fibonacci - should NOT return just 'it'
case_22,ok,200,716.20,28,yes,no,```python\n\n\nreturn True\n\n```,,Nested if return True
case_23,ok,200,715.39,20,yes,no,```\nreturn a / b\n```,,Division in try
case_24,ok,200,820.41,36,yes,no,"```\n{v: k for k, v in d.items()}\n```",,Dict comprehension k:v swap
case_25,ok,200,722.79,22,yes,no,```python\nx['age']\n```,,Lambda key function
case_26,ok,200,815.40,34,yes,no,"```\nwith open(path, 'r') as f:\n```",,With open - should not duplicate suffix
case_27,ok,200,816.29,54,yes,no,```python\n\n        return self.width * self.height\n```,,Property return calculation
case_28,ok,200,816.87,39,yes,no,```\n    ACTIVE = 1\n    INACTIVE = 2\n```,,Enum members
case_29,ok,200,819.04,36,yes,no,"```python\n\n\n    return [1, 2, 3]\n```",,Fixture return
case_30,ok,200,716.16,28,yes,no,"```\n""n must be positive""\n```",,Assert message string
case_31,fail,422,379.96,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Two sum algorithm
case_32,fail,422,380.12,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Return greeting string
case_33,fail,422,383.94,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Fetch and parse JSON
case_34,fail,422,384.98,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",HTTP GET method
case_35,fail,422,378.58,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Group by with generics
case_36,fail,422,391.68,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",parseInt with try-catch
case_37,fail,422,384.37,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",FileReader setup
case_38,fail,422,381.68,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Read file async
case_39,fail,422,425.59,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Map items to JSX
case_40,fail,422,378.57,,,,,"{""detail"":[{""type"":""literal_error"",""loc"":[""body"",""language""],""msg"":""Input should be 'python'"",""input"":""typescript"",""ctx"":{""expected"":""'python'""}}]}",Type guard implementation
